step,param,U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243,Am244,Am242m,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cm248,Cm249,Bk249,Bk250,Cf249,Cf250,Cf251,Kr83,Rh103,Rh105,Ag109,I135,Xe131,Xe135,Cs133,Cs134,Cs135,Cs137,Ba140,La140,Nd143,Nd145,Pm147,Pm148,Pm149,Pm148m,Sm147,Sm149,Sm150,Sm151,Sm152,Eu153,Eu154,Eu155,Eu156,Gd152,Gd154,Gd155,Gd156,Gd157,Gd160,Lost,Total
0,A,9.67838e+07,4.354e+06,0,0,1.43858e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15524e+08
1,A,9.66772e+07,4.34232e+06,64983.9,7.66382e+11,1.4385e+07,3.16514e+14,0.0005303,1856.15,2.93791e+08,2.4485e+14,0.000883394,9385.9,6.0127e+07,411365,699951,0.0135524,745.007,3.58083,475.456,0.000174104,0.0133281,0.00102456,1.4398,6.93976e-07,2.77474e-05,8.51266e-12,1.73271e-15,9.30058e-24,0,0,0,0,0,0,0,0,0,7.22638e+12,0,4.63204e+13,0,2.31434e+13,0,7.74854e+06,84637.8,1.45243e+10,1.09544e+13,6.60948e+12,0,0,8.7316e+09,7.49053e+08,6.40949e+12,9.46285e+07,0.000270794,0,0,2.30653e+08,0,0,834337,5.52179e+08,2.64145e+10,8.61213e-13,0,0,0,0,0,0,4.25875e+15
2,A,9.62458e+07,4.29591e+06,323844,1.97159e+12,1.43819e+07,3.20801e+14,0.0456299,29044.7,9.51395e+09,3.20423e+14,0.170668,1.81428e+06,5.41113e+08,1.62319e+07,1.4532e+08,14.4411,976556,3797.66,834321,1.19637,141.92,5.41109,13473.7,0.0348105,1.05675,1.53184e-06,1.60249e-09,4.50985e-17,9.58993e-19,1.16514e-14,5.31109e-17,0,0,0,0,0,0,8.34364e+12,0,4.63516e+13,0,2.32658e+13,0,8.99708e+08,474047,7.26281e+10,3.39646e+13,3.22829e+13,0,0,1.50359e+11,4.1781e+10,8.12572e+12,7.26794e+09,0.0255138,0,0,1.49003e+09,0,0,4.11677e+07,2.59559e+09,1.16679e+11,9.77563e-12,0,0,0,0,0,0,4.57323e+15
3,A,9.57077e+07,4.23859e+06,643281,2.4593e+12,1.4378e+07,3.22122e+14,0.257678,78926.9,2.87587e+10,3.21934e+14,1.72383,1.21442e+07,1.14383e+09,6.87917e+07,1.26805e+09,258.814,1.8134e+07,67964,1.61121e+07,45.6896,5781.05,192.248,532447,2.86798,83.461,0.000241815,5.13174e-07,2.91009e-14,1.25695e-15,1.54727e-11,1.44325e-13,0,3.20744e-18,0,0,0,0,8.76518e+12,0,4.63637e+13,0,2.333e+13,0,4.97545e+09,961920,1.45195e+11,4.24449e+13,4.20732e+13,0,0,4.13289e+11,1.50103e+11,8.18365e+12,3.32486e+10,0.151659,0,0,2.86773e+09,0,0,1.82585e+08,4.81413e+09,1.93761e+11,8.11143e-11,0,0,0,0,0,0,4.66396e+15
4,A,9.51707e+07,4.18205e+06,958055,2.81757e+12,1.43741e+07,3.23667e+14,0.673709,137274,5.16609e+10,3.23477e+14,7.22838,3.40316e+07,1.7219e+09,1.5401e+08,4.31064e+09,1341.05,9.46939e+07,351098,8.52267e+07,363.638,46991.7,1464.7,4.24309e+06,35.072,1014.04,0.00442958,1.42766e-05,1.23717e-12,8.12074e-14,1.00957e-09,1.41671e-11,0,4.75415e-16,0,0,0,0,9.16452e+12,0,4.63626e+13,0,2.3376e+13,0,1.24435e+10,1.45063e+06,2.17679e+11,4.45075e+13,4.4475e+13,0,0,6.90494e+11,2.74773e+11,8.25545e+12,6.97337e+10,0.400721,0,0,4.05338e+09,0,0,4.24404e+08,6.72776e+09,2.52905e+11,3.45989e-10,0,0,0,0,0,0,4.7128e+15
5,A,9.46392e+07,4.12624e+06,1.26826e+06,3.16868e+12,1.43702e+07,3.25205e+14,1.31537,203013,7.76594e+10,3.25014e+14,19.0415,6.91572e+07,2.27668e+09,2.68129e+08,1.0059e+10,4218.64,3.02582e+08,1.10154e+06,2.70256e+08,1562.13,205877,6003.76,1.79007e+07,199.978,5899.79,0.0343791,0.000148537,1.72321e-11,1.52147e-12,1.92449e-08,3.60622e-10,0,1.62193e-14,0,5.02611e-22,0,0,9.54447e+12,0,4.63627e+13,0,2.34018e+13,0,2.3289e+10,1.93976e+06,2.9008e+11,4.49597e+13,4.50215e+13,0,0,9.62688e+11,3.98452e+11,8.33303e+12,1.09503e+11,0.772815,0,0,5.07646e+09,0,0,7.67191e+08,8.40706e+09,3.02003e+11,9.79415e-10,0,0,0,0,0,0,4.74566e+15
6,A,9.4106e+07,4.07114e+06,1.57413e+06,3.53319e+12,1.43662e+07,3.26321e+14,2.20923,276229,1.06792e+11,3.26128e+14,39.8402,1.19101e+08,2.80857e+09,4.07888e+08,1.91544e+10,10136.9,7.33763e+08,2.63802e+06,6.51357e+08,4772.11,633183,17595.5,5.36322e+07,758.003,22740.5,0.166139,0.000903507,1.32622e-10,1.46811e-11,1.85951e-07,4.3468e-09,0,2.45387e-13,0,7.69503e-21,0,0,9.91104e+12,0,4.6362e+13,0,2.34373e+13,0,3.74468e+10,2.4295e+06,3.62395e+11,4.50081e+13,4.51027e+13,0,0,1.22633e+12,5.17677e+11,8.41101e+12,1.4937e+11,1.26383,0,0,5.9625e+09,0,0,1.21079e+09,9.89466e+09,3.45624e+11,2.17033e-09,0,0,0,0,0,0,4.76901e+15
7,A,9.35764e+07,4.01672e+06,1.87575e+06,3.85463e+12,1.43622e+07,3.27887e+14,3.36443,356283,1.38984e+11,3.27692e+14,76.9182,1.85468e+08,3.31934e+09,5.70508e+08,3.2027e+10,20551,1.48273e+09,5.32813e+06,1.32192e+09,11701.2,1.57053e+06,41775.9,1.29719e+08,2224.78,67949.8,0.598092,0.00392351,6.95904e-10,9.33628e-11,1.18741e-06,3.32044e-08,0,2.25113e-12,0,7.18172e-20,0,0,1.02633e+13,0,4.63633e+13,0,2.34564e+13,0,5.47858e+10,2.91951e+06,4.34625e+11,4.49588e+13,4.50703e+13,0,0,1.48098e+12,6.33115e+11,8.48744e+12,1.88453e+11,1.86889,0,0,6.73193e+09,0,0,1.75637e+09,1.12402e+10,3.84594e+11,4.10256e-09,0,0,0,0,0,0,4.78767e+15
8,A,9.30465e+07,3.96296e+06,2.17326e+06,4.19523e+12,1.43582e+07,3.29584e+14,4.80776,443103,1.73941e+11,3.29388e+14,129.763,2.69663e+08,3.81053e+09,7.53046e+08,4.91084e+10,37067.2,2.71247e+09,9.57513e+06,2.3827e+09,24977.3,3.36421e+06,85763.9,2.70735e+08,5471.29,170046,1.75116,0.0134942,2.80523e-09,4.41744e-10,5.65476e-06,1.84393e-07,0,1.46236e-11,0,4.73512e-19,0,0,1.06023e+13,0,4.63638e+13,0,2.34738e+13,0,7.52361e+10,3.40974e+06,5.06766e+11,4.48863e+13,4.50112e+13,0,0,1.72672e+12,7.46917e+11,8.56295e+12,2.26866e+11,2.58317,0,0,7.40207e+09,0,0,2.40579e+09,1.24649e+10,4.21149e+11,6.94213e-09,0,0,0,0,0,0,4.80272e+15
9,A,9.25194e+07,3.90984e+06,2.46669e+06,4.5222e+12,1.43542e+07,3.30397e+14,6.55628,536536,2.1201e+11,3.302e+14,198.791,3.73241e+08,4.28159e+09,9.53485e+08,7.05304e+10,61408.7,4.48403e+09,1.58014e+07,3.93469e+09,47683.1,6.48319e+06,158257,5.07216e+08,11826.7,375419,4.4201,0.0391433,9.38559e-09,1.69168e-09,2.1827e-05,8.11097e-07,0,7.36609e-11,0,2.40727e-18,0,0,1.09293e+13,0,4.63639e+13,0,2.34751e+13,0,9.87293e+10,3.8999e+06,5.78817e+11,4.48102e+13,4.49473e+13,0,0,1.96393e+12,8.53744e+11,8.63497e+12,2.63478e+11,3.40199,0,0,7.98802e+09,0,0,3.15993e+09,1.36103e+10,4.54641e+11,1.08301e-08,0,0,0,0,0,0,4.81304e+15
